                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0864,                 1.1121,                 1.0748,                0.84588,                0.76382,                0.86882,                0.64531,                0.93008,                 1.0219,                 1.0381,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.072,                 1.0813,                 1.0581,                0.87509,                0.80971,                0.91622,                0.65276,                 1.0215,                0.96755,                 1.0651,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.073,                 1.1324,                 1.0351,                0.86479,                0.85427,                0.91573,                0.67933,                0.93963,                0.92792,                 1.0399,                0.00101,                0.00101,                0.00101
                     52,                 1.1632,                 1.1285,                  1.073,                 0.8041,                0.76884,                0.84942,                0.60747,                0.97338,                 1.0875,                 1.0625,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1162,                 1.1974,                 1.0713,                0.85384,                0.84925,                0.91827,                0.66685,                0.97145,                0.92602,                 1.0418,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0889,                 1.1691,                  1.066,                0.88942,                0.82915,                0.91833,                0.66447,                0.97011,                0.93947,                 1.0408,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1312,                 1.1054,                  1.086,                0.87484,                 0.8593,                0.92841,                0.66768,                0.94034,                0.92428,                 1.0348,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0748,                  1.073,                 1.0694,                0.87434,                0.83913,                 0.9201,                 0.6364,                 1.0177,                0.91512,                 1.0436,               0.000911,               0.000911,               0.000911
                     57,                 1.0557,                 1.0162,                 1.0449,                0.84099,                0.82412,                0.91388,                0.69058,                0.92073,                0.92536,                 1.0216,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0662,                 1.0546,                 1.0721,                0.83453,                0.83634,                0.88897,                0.63962,                 1.0172,                 1.0582,                 1.1001,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1305,                 1.0708,                 1.0442,                0.87416,                 0.8378,                0.92614,                0.66124,                0.96407,                0.89991,                 1.0272,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0316,                0.99868,                 1.0279,                0.84895,                 0.8755,                0.91994,                0.67522,                0.92432,                0.87408,                 1.0242,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0701,                 1.0246,                 1.0496,                0.89494,                 0.8989,                0.94465,                0.70797,                0.92677,                0.86003,                 1.0195,               0.000812,               0.000812,               0.000812
                     62,                 1.0629,                 1.0279,                 1.0131,                0.82009,                0.86432,                0.91548,                0.67974,                0.93436,                0.94279,                 1.0219,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0265,                0.97967,                 1.0297,                0.89384,                0.88848,                0.94802,                0.70871,                0.91746,                 0.7919,                 1.0113,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0436,                0.92048,                 1.0445,                0.90949,                 0.8593,                0.94498,                0.70409,                0.88827,                0.81178,                0.99796,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0362,                0.97001,                 1.0048,                0.91183,                0.87437,                0.95321,                0.69508,                0.97897,                0.80989,                 1.0213,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0314,                0.95853,                 1.0303,                0.92151,                0.88497,                0.95702,                0.73741,                0.85963,                0.78451,                0.98315,               0.000713,               0.000713,               0.000713
                     67,                 1.0488,                0.97688,                 1.0315,                0.91766,                0.84001,                0.94988,                0.71969,                0.86748,                0.79977,                0.99135,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0165,                0.92994,                 1.0208,                0.90523,                0.85427,                0.95402,                 0.6782,                0.99409,                0.84141,                 1.0253,              0.0006734,              0.0006734,              0.0006734
                     69,                0.97102,                0.93935,                0.99996,                0.90647,                0.91457,                0.95528,                0.70812,                 0.8775,                0.79152,                0.99409,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0007,                0.95526,                 1.0164,                0.91211,                 0.8866,                0.95572,                0.72845,                 0.8727,                0.75949,                0.98992,              0.0006338,              0.0006338,              0.0006338
                     71,                0.98178,                0.90581,                 1.0132,                0.89824,                0.84275,                0.94501,                0.71119,                0.86464,                 0.7714,                0.98493,               0.000614,               0.000614,               0.000614
                     72,                 1.0394,                0.93445,                0.98561,                0.90984,                0.91283,                 0.9682,                0.74412,                0.83593,                0.72122,                0.98346,              0.0005942,              0.0005942,              0.0005942
                     73,                0.93357,                 0.9124,                0.97932,                0.89256,                0.91839,                 0.9646,                0.73685,                0.88736,                0.73429,                 1.0029,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0396,                0.97684,                 1.0463,                 0.9025,                0.78894,                0.91535,                0.69683,                0.87581,                0.85349,                 1.0059,              0.0005546,              0.0005546,              0.0005546
                     75,                0.98515,                 0.9416,                  1.016,                0.93036,                0.87274,                0.96234,                0.72428,                0.87229,                0.73872,                0.98662,              0.0005348,              0.0005348,              0.0005348
                     76,                0.97787,                 0.8672,                0.98207,                0.90263,                0.93172,                0.97317,                0.72953,                0.86368,                0.73599,                0.97938,               0.000515,               0.000515,               0.000515
                     77,                 1.0458,                 0.9198,                 1.0211,                0.92875,                0.91701,                 0.9709,                0.74486,                 0.8416,                0.73093,                0.97696,              0.0004952,              0.0004952,              0.0004952
                     78,                0.95715,                0.89154,                0.99205,                 0.9036,                0.89491,                0.95456,                0.71883,                0.88107,                0.79049,                0.99036,              0.0004754,              0.0004754,              0.0004754
                     79,                0.94898,                0.85592,                0.98233,                0.90376,                0.94375,                0.97415,                 0.7486,                0.84589,                0.70775,                0.98301,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0401,                 0.8924,                 1.0382,                0.89237,                 0.9397,                0.96921,                0.75984,                0.80535,                 0.7531,                 0.9626,              0.0004358,              0.0004358,              0.0004358
                     81,                0.97484,                0.89708,                0.98993,                0.89976,                0.92965,                0.96696,                0.75896,                0.80354,                0.71212,                0.96783,               0.000416,               0.000416,               0.000416
                     82,                0.94209,                 0.8422,                0.97021,                0.88116,                0.93467,                0.96956,                0.74272,                0.82409,                0.69217,                0.96528,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.9579,                0.84966,                0.97923,                0.91762,                0.92462,                0.97318,                0.73703,                0.87108,                0.73053,                0.97553,              0.0003764,              0.0003764,              0.0003764
                     84,                0.97904,                0.87431,                0.97487,                0.91864,                0.90783,                0.96979,                0.75905,                0.81748,                0.68448,                0.96085,              0.0003566,              0.0003566,              0.0003566
                     85,                0.93945,                 0.8431,                0.97233,                0.92475,                0.90955,                0.97087,                0.77335,                0.79743,                0.67153,                0.95973,              0.0003368,              0.0003368,              0.0003368
                     86,                0.92961,                0.83608,                0.98351,                0.91462,                0.96895,                0.98109,                 0.7778,                 0.8015,                0.65124,                0.95941,               0.000317,               0.000317,               0.000317
                     87,                0.93482,                0.82928,                0.98742,                0.88784,                0.95469,                0.97419,                0.75901,                0.83588,                 0.6852,                0.96636,              0.0002972,              0.0002972,              0.0002972
                     88,                0.94598,                0.85978,                0.99878,                 0.9009,                 0.9598,                0.98052,                 0.7617,                0.83084,                0.67357,                0.96661,              0.0002774,              0.0002774,              0.0002774
                     89,                0.93666,                0.83095,                0.99337,                0.94233,                0.89447,                0.97949,                0.76573,                0.80977,                0.64801,                0.96074,              0.0002576,              0.0002576,              0.0002576
                     90,                0.90708,                0.82891,                0.96094,                0.92665,                 0.9523,                 0.9802,                0.77447,                0.79908,                0.66029,                0.95377,              0.0002378,              0.0002378,              0.0002378
                     91,                0.87894,                0.73704,                 0.9907,                0.93506,                0.94069,                0.97645,                0.74888,                0.82724,                0.67953,                0.96033,               0.000218,               0.000218,               0.000218
                     92,                0.90441,                0.78784,                 1.0094,                0.92679,                0.95427,                0.97944,                0.75688,                0.80947,                0.65413,                 0.9555,              0.0001982,              0.0001982,              0.0001982
                     93,                0.88963,                0.73922,                 0.9852,                 0.9211,                 0.9397,                0.97902,                 0.7612,                0.79689,                0.63976,                 0.9437,              0.0001784,              0.0001784,              0.0001784
                     94,                0.87023,                0.73108,                0.98405,                0.92833,                0.91124,                 0.9789,                 0.7513,                0.82493,                0.64292,                0.94765,              0.0001586,              0.0001586,              0.0001586
                     95,                0.92903,                0.77184,                0.98385,                0.95201,                0.92462,                0.98359,                0.75834,                0.82977,                0.63645,                0.94628,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88512,                0.75266,                0.98286,                0.93391,                 0.9598,                0.98511,                0.76698,                0.79812,                0.63226,                0.93884,               0.000119,               0.000119,               0.000119
                     97,                0.88567,                0.70879,                0.96911,                0.93201,                0.96482,                0.98583,                0.77318,                0.78384,                0.62915,                0.93507,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.87189,                0.73841,                0.98023,                  0.936,                0.95543,                0.98591,                0.77799,                0.77956,                0.62142,                0.93681,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.84056,                0.71895,                 0.9934,                0.94513,                0.94975,                0.98607,                0.78483,                0.77758,                0.60655,                0.94245,               5.96e-05,               5.96e-05,               5.96e-05
